Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,Mad,Operacion,nombreTaller
TZ-175,"Guadalajara Especializado",2020-01-22,2020-03-20,0000-00-00,"Mantenimiento Correctivo",390295,42,"En espera de autorización","Cabeza de motor, media reparacion, turbo, actuador, inyectores. 
Falla por calentamiento de motor.  UNIDAD SE INGRESA A KW DE JALISCO EN GRUA. PENDIENTE REVISAR AVANCE ",MOTRIZ,Modelo,"Zapata Camiones  Suc. R Michel"
TZ-128,"Guadalajara Especializado",2020-02-11,2020-03-06,0000-00-00,"Mantenimiento Correctivo",35326,22,"En espera de autorización","Daño en VGT, bomba de direccion, filtro de direccion y kit de separacion PDM. En espera de autorizacion.
Unidad ingresada a M. Otero. En espera de diagnostico",MOTRIZ,Modelo,"Zapata Camiones  Suc. Mariano Otero"
4315,Torreon,2020-02-18,2020-03-06,0000-00-00,Siniestro,1,15,"En espera de autorización","PERDIDA DE LONAS POR SINIESTRO (TIRO PRODUCTO)
EN PROCESO DE NEGOSIACION POR PARTE DE PERSONAL DE SINIESTROS (JAIME CHAUL) Y QUALITAS,",ARRASTRE,Modelo,"Reconstructora Especializada de Equ"
TZ-151,"Mexico Especializado",2020-01-29,2020-03-05,0000-00-00,"Mantenimiento Correctivo",350000,35,"En espera de autorización","Reparación mayor motor (motor sobre calentado)",MOTRIZ,Modelo,"Kenworth de Michoacan S.A de C.V"
4168,"Mexico Dedicado",2020-02-10,2020-03-13,,"Mantenimiento Correctivo",60,23,"En espera de cotización","FALLA DE FRENOS (DISCO)",ARRASTRE,Modelo,"Grupo SIS Diesel Refacciones y Tran"
TZ-290,"Mexico Especializado",2020-02-28,2020-03-04,0000-00-00,"Mantenimiento Correctivo",15000,5,"En espera de diagnostico","Fan clutch se queda pegado
Secador desfoga constantemente
Revisar sensor de nivel de refrigerante (marca código aun con refrigerante a nivel)",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-291,"Mexico Especializado",2020-02-29,2020-03-05,0000-00-00,"Mantenimiento Correctivo",1,4,"En espera de diagnostico","Revisar elevación de temperatura de refrigerante
Nivel de anticongelante correcto, no presenta fugas de refrigerante, fan clutch si trabaja",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-244,"Mexico Especializado",2020-03-02,2020-03-05,0000-00-00,"Mantenimiento Correctivo",15000,2,"En espera de diagnostico","Revisar funcionamiento fan clutch (no trabaja automático)",MOTRIZ,Modelo,"Zapata Camiones (Tlalnepantla)"
TZ-149,Torreon,2020-03-04,2020-03-07,0000-00-00,"Mantenimiento Correctivo",1,0,"En espera de diagnostico","UNIDAD PRESENTA CONTAMINACIÓN DE DIÉSEL EN EL AGUA.
(PASO DIÉSEL AL DEPOSITO DE ANTICONGELANTE)
SE ENVIARA A MEGAMAK PARA REVISAR TEMA DE GARANTÍA YA QUE LA UNIDAD SALIO DE REPARACIÓN DE CON ELLOS.",MOTRIZ,Modelo,"Megamack (Torreon)"
4271,Tuxtepec,2020-02-10,2020-03-10,0000-00-00,Siniestro,0,23,"En proceso de reparación","Reparación de remolque por garantía en taller de aseguradora por mala reparación en taller de Cuernavaca",ARRASTRE,Modelo,"Reipa en veracruz"
TZ-167,"Guadalajara Especializado",2020-02-25,2020-03-05,0000-00-00,"Mantenimiento Correctivo",8500,8,"En proceso de reparación","DAÑO EN PEDAL DE ACELERADOR, SE REVISA POSIBLE GARANTIA POR COMPONENTE",MOTRIZ,Modelo,"Zapata Camiones  Suc. Mariano Otero"
TZ-320,Torreon,2020-01-23,2020-03-05,0000-00-00,Siniestro,68853,41,"En proceso de reparación","Golpe en cofre lado derecho por siniestro, daño en defensa, faro principal derecho y cofre completo.",MOTRIZ,Modelo,"Reconstructora Especializada de Equ"
TZ-115,"Mexico Especializado",2020-01-21,2020-03-04,0000-00-00,"Mantenimiento Correctivo",31200,43,"En proceso de reparación","Reparar inyectores",MOTRIZ,Modelo,"Patio Zemog"
4118,"Mexico Dedicado",2020-01-12,2020-03-20,0000-00-00,Siniestro,0,52,"En proceso de reparación","LA UNIDAD SUFRIÓ SINIESTRO EN EL QUE FUIMOS AFECTADOS, NOS VAN A PAGAR LOS DAÑOS PERO JAIME CHAUL NO HA DADO RESPUESTAS SI YA ESTÁN AUTORIZADOS, EL TALLER QUE ES UTILITY YA PASO LA VALUACIÓN PARA EL P",ARRASTRE,Modelo,"Patio Zemog"
TZ-120,Tuxtepec,2020-02-28,2020-03-05,0000-00-00,"Mantenimiento Correctivo",4500,5,"En proceso de reparación","Corregir fuga de aceite en junta de campana",MOTRIZ,Modelo,"Gomsa Camiones Tuxtepec S.A de C.V."
TZ-350,Zacatecas,2020-02-08,2020-03-26,0000-00-00,"Mantenimiento Correctivo",215515,25,"En proceso de reparación","Media reparación de motor por desgaste de componentes ",MOTRIZ,Modelo,"Kenworth del Centro S.A de C.V"
4311,Tuxtepec,2020-03-02,2020-03-02,,"Mantenimiento Correctivo",8000,2,"En proceso de reparación","Reparar espiga, cambio de balero pos. 2, cambio de gavilanes pos. 1 y 2",ARRASTRE,Modelo,"Muelles de la Cuenca"
