Economico,"Nombre Sucursal","Fecha Ingreso","Fecha Promesa","Fecha Entrega",Motivo,"Costo por Reparacion","Dias en Detencion",nombreEstatus,Comentarios,"Nombre Operacion",Mad,Operacion
TZ-175,"Guadalajara Especializado",2020-01-22,2020-03-20,0000-00-00,"Mantenimiento Correctivo",390295,45,"En espera de autorización","Cabeza de motor, media reparacion, turbo, actuador, inyectores. 
Falla por calentamiento de motor.  UNIDAD SE INGRESA A KW DE JALISCO EN GRUA. PENDIENTE REVISAR AVANCE ",Modelo,MOTRIZ,Modelo
TZ-128,"Guadalajara Especializado",2020-02-11,2020-03-09,0000-00-00,"Mantenimiento Correctivo",35326,25,"En espera de autorización","Daño en VGT, bomba de direccion, filtro de direccion y kit de separacion PDM. En espera de autorizacion.
Unidad ingresada a M. Otero. En espera de diagnostico",Modelo,MOTRIZ,Modelo
4315,Torreon,2020-02-18,2020-03-10,0000-00-00,Siniestro,1,18,"En espera de autorización","PERDIDA DE LONAS POR SINIESTRO (TIRO PRODUCTO)
EN PROCESO DE NEGOSIACION POR PARTE DE PERSONAL DE SINIESTROS (JAIME CHAUL) Y QUALITAS,",Modelo,ARRASTRE,Modelo
TZ-151,"Mexico Especializado",2020-01-29,2020-03-07,0000-00-00,"Mantenimiento Correctivo",350000,38,"En espera de autorización","Reparación mayor motor (motor sobre calentado)",Modelo,MOTRIZ,Modelo
TZ-136,"Guadalajara Especializado",2020-02-28,2020-03-09,0000-00-00,"Mantenimiento Correctivo",18500,8,"En espera de autorización","DAÑO EN SAM CABINA,  EN ESPERA DE AUTORIZACION",Modelo,MOTRIZ,Modelo
4383,"Mexico Dedicado",2020-02-14,2020-03-31,,"Mantenimiento Correctivo",32000,22,"En espera de autorización","REPARACIÓN MAYOR
CAMBIO DE PISO--CAMBIO DE ESTRUCTURA DE MAMPARA--CAMBIO DE ALFOMBRA AMBOS LADOS--CAMBIO DE BOTA AGUAS---REPARACION DE LIENZOS--REPARACION DE PARA CHOQUES--REPARACION DE PERFILES.
NO",Modelo,ARRASTRE,Modelo
4168,"Mexico Dedicado",2020-02-10,2020-03-13,,"Mantenimiento Correctivo",60,26,"En espera de cotización","FALLA DE FRENOS (DISCO)",Modelo,ARRASTRE,Modelo
4116,"Mexico Dedicado",2020-03-05,2020-03-07,,"Mantenimiento Preventivo",15000,2,"En espera de cotización","ingresa a MP M2
revision de cajas tensoras--revision de fuga de aire por bolsas de suspension--rieles de carretillas---cambio de bujes trifoncionales el remolque esta caminando chueco--alineacion, ma",Modelo,ARRASTRE,Modelo
TZ-204,Tuxtepec,2020-03-06,2020-03-31,0000-00-00,Siniestro,62000,1,"En espera de cotización","Unidad en siniestro con daño en cofre, eje direccional, suspensión delantera (se mueve a taller Reypa Córdoba)",Modelo,MOTRIZ,Modelo
TZ-182,Tuxtepec,2020-03-06,2020-03-21,,Siniestro,40000,1,"En espera de cotización","Unidad por siniestro con daño en defensa, parrilla, puente de cofre, puente de chasis, postenfriador, radiador de a/c, radiador (se mueve a taller Reypa Córdoba)",Modelo,MOTRIZ,Modelo
TZ-244,"Mexico Especializado",2020-03-02,2020-03-07,0000-00-00,"Mantenimiento Correctivo",15000,5,"En espera de diagnostico","Revisar funcionamiento fan clutch (no trabaja automático)",Modelo,MOTRIZ,Modelo
TZ-267,Apan,2020-03-06,2020-03-07,,"Mantenimiento Correctivo",1,1,"En espera de diagnostico","Falla electrica",Modelo,MOTRIZ,Modelo
4271,Tuxtepec,2020-02-10,2020-03-10,0000-00-00,Siniestro,0,26,"En proceso de reparación","Reparación de remolque por garantía en taller de aseguradora por mala reparación en taller de Cuernavaca",Modelo,ARRASTRE,Modelo
TZ-115,"Mexico Especializado",2020-01-21,2020-03-11,0000-00-00,"Mantenimiento Correctivo",31200,46,"En proceso de reparación","Reparar inyectores",Modelo,MOTRIZ,Modelo
